review_id,product_id,customer_id,rating,comment
1,2,14,1,Major good keep wall.
2,6,1,3,Attorney through method trouble name.
3,1,8,1,Game worry tough notice task generation standard.
4,6,2,4,Many prepare author how or final final into.
5,10,15,4,Join realize board truth success right could activity.
6,7,17,4,During exist trial.
7,10,18,2,Every though common research.
8,1,6,1,Discuss organization worker kitchen production mean significant.
9,8,6,1,Share break spring professor put computer.
10,5,16,1,Environment mouth technology investment there show.
11,2,20,2,Develop new white important option.
12,4,18,5,Help seat direction here once design fact.
13,7,2,1,Man wide everything figure happy Congress sometimes.
14,2,15,3,Left Congress pick girl attorney watch.
15,2,7,5,Something step several price arm save.
16,5,13,2,Know paper debate by fine size.
17,1,9,3,Time section national you feel feeling or.
18,10,16,2,Would child check until much.
19,5,9,1,Kind same hold do fact compare moment series.
20,10,18,2,Senior good scene among.
